county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offenses,income_p_c_100,vio_offence_per_100,prop_offence_per_100,drug_offence_per_100,poverty_per_mill,unemploy_perc,hs_attainment_perc
37145,"31,193",323.790594,21848,6674.574424,19606.9631,4.667356258,26.9764849,4321.482384,1348,22.97882579,2.297882579,16,589.805,21,218.48,410.3484756,3911.133908,67.32279678,19.6069631,11,83
37147,"121,767",520.6665188,21935,6796.586924,30489.37725,6.904530952,34.05154983,6450.844646,7855,26.46401044,2.646401044,23.9,2046.502,182,219.35,707.9093679,5742.935278,149.465783,30.48937725,10.1,85.8
37149,"16,681",155.8659553,24008,4867.81368,15490.67802,4.734399684,4.475865431,1726.515197,288,35.69127517,3.569127517,12.9,210.37,,240.08,95.91751094,1630.597686,0,15.49067802,8.8,87
37151,"114,713",332.1332369,21297,6831.832486,20717.79136,8.715351438,5.767819854,4252.351521,4878,50.18791792,5.018791792,17.2,1981.939,79,212.97,156.0415995,4096.309921,68.86752155,20.71779136,10.8,78
37153,"36,913",633.9230082,17692,7363.259556,31064.93647,9.220999335,30.59456678,8904.721914,3287,16.90526455,1.690526455,25.2,497.1,33,176.92,715.1951887,8189.526725,89.39939859,31.06493647,13.6,80.1
37155,"101,280",457.1484992,15321,6869.075829,38412.32227,46.2333139,24.32547254,9317.733017,9437,11.07216937,1.107216937,30.2,1414.415,67,153.21,1167.061611,8150.671406,66.15323855,38.41232227,12.6,71.5
37157,"74,532",397.1448505,20801,7502.817582,19315.19347,5.478468643,18.85351815,4987.119626,3717,31.36566743,3.136566743,15.6,1178.943,42,208.01,393.1197338,4593.999893,56.3516342,19.31519347,12.9,79
37159,"110,030",797.0553485,21525,7972.371171,19624.64782,7.327252045,16.17591817,3617.19531,3980,41.17393276,4.117393276,16.3,2141.841,171,215.25,360.810688,3256.384622,155.4121603,19.62464782,12.8,81
37161,"51,783",492.4396037,18961,8251.74285,26078.05651,4.049572093,10.10765374,4175.115385,2162,33.41652283,3.341652283,20.7,681.169,40,189.61,291.6014908,3883.513895,77.24542804,26.07805651,16.1,81.6
37163,"52,856",446.4961405,19086,5182.003935,23982.14015,16.1891612,27.00256972,3689.268957,1950,35.55041502,3.555041502,20.4,698.477,48,190.86,259.1947934,3430.074164,90.81277433,23.98214015,8.7,75
37165,"29,318",405.89399,16297,7667.644451,34241.76274,15.0358328,38.56238073,6112.285968,1792,16.32364007,1.632364007,29.5,507.361,25,162.97,620.7790436,5491.506924,85.27184665,34.24176274,16.8,77.6
37167,"48,080",328.6189684,21139,7645.590682,15305.74043,5.495991819,10.9433028,3325.707155,1599,42.92655338,4.292655338,12.7,717.887,25,211.39,230.8652246,3094.84193,51.99667221,15.30574043,12.3,80.6
37169,"38,519",280.3811106,20852,6427.996573,14792.69971,3.098937386,4.042108816,3455.437576,1331,47.51878213,4.751878213,12.2,474.063,17,208.52,454.3212441,3001.116332,44.13406371,14.79269971,10.8,81.1
37171,"60,632",313.3658794,20541,6456.98641,20116.44016,8.136853244,3.731353413,3971.500198,2408,39.3716059,3.93716059,16.9,951.252,42,205.41,257.2898799,3714.210318,69.27035229,20.11644016,11.9,75.3
37173,"11,366",193.5597396,19297,7742.389583,26764.03308,32.68532365,0.543594879,4619.03924,525,25.68712544,2.568712544,22.4,138.348,2,192.97,457.504839,4161.534401,17.59633996,26.76403308,13,82.1
37175,"26,200",129.7709924,23939,4744.274809,16797.70992,3.720292505,3.904502871,2667.938931,699,36.27596754,3.627596754,14,384.607,7,239.39,240.4580153,2427.480916,26.71755725,16.79770992,9.8,88.4
37177,"3,594",528.6588759,15812,6622.148024,21285.47579,7.35563703,38.18924438,1892.042293,68,11.09439639,1.109439639,21.9,50.081,5,158.12,83.47245409,1808.569839,139.1207568,21.28547579,10.6,71.5
37179,"142,701",172.3884205,28596,6529.036237,11306.15763,9.140331836,11.70339606,2256.466318,3220,43.76630697,4.376630697,8.5,2823.93,59,285.96,172.3884205,2084.077897,41.34519029,11.30615763,9.9,87.8
37181,"34,288",761.1992534,17622,7349.510033,35799.69669,6.001280155,49.85469596,10592.62716,3632,13.81859055,1.381859055,27.5,469.072,43,176.22,694.120392,9898.506766,125.4083061,35.79969669,13.1,75.6
37183,"676,385",277.208986,32592,5662.899089,11933.58812,12.57684614,20.70049379,3734.26377,25258,30.36609705,3.036609705,9.7,13395.144,440,325.92,359.1150011,3375.148769,65.05170872,11.93358812,8.4,91.6
37185,"17,184",285.1489758,17838,5708.798883,32245.11173,8.983270217,52.30783902,4393.621974,755,12.09371514,1.209371514,27,199.622,7,178.38,256.0521415,4137.569832,40.73556797,32.24511173,12.8,76.5
37187,"10,431",316.3646822,16982,7401.016202,30620.26651,4.293532722,49.79588751,2291.247244,239,12.24760013,1.224760013,24.8,131.245,6,169.82,613.5557473,1677.691497,57.52085131,30.62026651,11,79
37189,"38,299",219.3268754,20961,4940.076764,28580.38069,3.759764674,1.716948257,3180.239693,1218,35.02496639,3.502496639,24.8,481.132,24,209.61,151.4399854,3028.799708,62.66482154,28.58038069,8,89
37191,"92,387",610.4754998,20446,5078.636605,23463.25782,9.692231825,31.39623072,6060.37646,5599,31.51936502,3.151936502,18.6,1295.596,112,204.46,633.2059705,5427.170489,121.2291773,23.46325782,8.9,81.7
37193,"54,864",473.8990959,19406,7228.783902,23842.59259,5.343268004,4.081338333,3377.442403,1853,51.66383985,5.166383985,19.2,806.067,44,194.06,277.0487022,3100.393701,80.19830854,23.84259259,13.5,74.2
37195,"62,401",432.6853736,20691,8084.806333,26171.05495,8.994254285,39.005835,5229.082867,3263,25.45116524,2.545116524,21,1614.576,60,206.91,589.7341389,4639.348728,96.15230525,26.17105495,12.7,78.5
37197,"31,105",292.5574666,20379,6056.904035,17704.54911,8.377961807,3.103681716,3581.417778,1114,57.1398197,5.71398197,14.7,447.547,18,203.79,289.3425494,3292.075229,57.86850989,17.70454911,10.3,78.8
37199,"15,551",366.5359141,18576,5787.40917,20538.8721,3.988475227,0.813783814,1729.792296,269,35.99175203,3.599175203,18.1,213.937,18,185.76,122.178638,1607.613658,115.7481834,20.5388721,11.9,83.2
